ID,Name,Concepticon_ID,Concepticon_Gloss,Core_list,Semantic_category,Semantic_field,Borrowed_score,Age_score,Simplicity_score
8-98,the mushroom,641,MUSHROOM,yes,Noun,Agriculture and vegetation,0.266666666667,0.877777777778,0.877777777778
9-11,to do,813,DO,yes,Verb,Basic actions and technology,0.0278323510151,0.897184020956,0.939423706614
9-12,the work,984,WORK (LABOUR),yes,Noun,Basic actions and technology,0.36197440585,0.849177330896,0.912248628885
9-14,to bend,2004,BEND,yes,Verb,Basic actions and technology,0.125,0.799038461538,0.846153846154
9-15,to fold,1470,FOLD,yes,Verb,Basic actions and technology,0.0962264150943,0.798490566038,0.855660377358
9-16,to tie,1917,TIE,yes,Verb,Basic actions and technology,0.121037463977,0.874639769452,0.948126801153
9-161,to untie,352,UNTIE,yes,Verb,Basic actions and technology,0.0824524312896,0.827906976744,0.780126849894
9-18,the chain,1627,CHAIN,yes,Noun,Basic actions and technology,0.561752988048,0.763346613546,0.922310756972
9-19,the rope,1218,ROPE,yes,Noun,Basic actions and technology,0.151865008881,0.865541740675,0.993339253996
9-192,the knot,760,KNOT,yes,Noun,Basic actions and technology,0.105555555556,0.793333333333,0.927777777778
9-21,to strike or hit or beat,2133,STRIKE OR BEAT,yes,Verb,Basic actions and technology,0.0448979591837,0.813333333333,0.94693877551
9-211,to pound,354,POUND,yes,Verb,Basic actions and technology,0.218623481781,0.837246963563,0.842105263158
9-22,to cut,1432,CUT,yes,Verb,Basic actions and technology,0.0811584977721,0.791597708466,0.9132718014
9-221,to cut down,355,CUT DOWN,yes,Verb,Basic actions and technology,0.0668316831683,0.819801980198,0.799504950495
9-222,to chop,155,CHOP,yes,Verb,Basic actions and technology,0.0501485884101,0.817310549777,0.876485884101
9-223,to stab,3189,STAB TO DEATH,yes,Verb,Basic actions and technology,0.0971337579618,0.781847133758,0.832802547771
9-23,the knife(2),1352,KNIFE,yes,Noun,Basic actions and technology,0.383823529412,0.854705882353,0.938235294118
9-24,the scissors or shears,356,SHEARS,yes,Noun,Basic actions and technology,0.478346456693,0.811811023622,0.88188976378
9-25,the axe/ax,677,AXE,yes,Noun,Basic actions and technology,0.349397590361,0.830120481928,0.951807228916
9-251,the adze,290,ADZE,yes,Noun,Basic actions and technology,0.34126984127,0.736507936508,0.865079365079
9-26,to break,680,BREAK (DESTROY OR GET DESTROYED),yes,Verb,Basic actions and technology,0.0656934306569,0.843795620438,0.818430656934
9-261,broken,3190,BROKEN (NOT WORKING),yes,Adjective,Basic actions and technology,0.0912162162162,0.809797297297,0.711148648649
9-27,to split,1437,SPLIT,yes,Verb,Basic actions and technology,0.138089758343,0.845492903721,0.826428845416
9-28,to tear,1735,TEAR (SHRED),yes,Verb,Basic actions and technology,0.0646153846154,0.832615384615,0.875384615385
9-83,the statue,1002,STATUE,yes,Noun,Basic actions and technology,0.339622641509,0.811320754717,0.801886792453
9-29,to skin,291,PULL OFF (SKIN),yes,Verb,Basic actions and technology,0.111524163569,0.788475836431,0.774163568773
9-31,to rub,1449,RUB,yes,Verb,Basic actions and technology,0.167525773196,0.867010309278,0.894329896907
9-32,to stretch,214,STRETCH,yes,Verb,Basic actions and technology,0.0852272727273,0.852272727273,0.761363636364
9-33,to pull,1455,PULL,yes,Verb,Basic actions and technology,0.135859519409,0.852495378928,0.936229205176
9-34,to spread out,38,SPREAD OUT,yes,Verb,Basic actions and technology,0.10447761194,0.831343283582,0.810945273632
9-341,to hang up,357,HANG UP,yes,Verb,Basic actions and technology,0.107859531773,0.817056856187,0.864548494983
9-342,to press,1913,PRESS,yes,Verb,Basic actions and technology,0.200203252033,0.823983739837,0.861788617886
9-343,to squeeze,1414,SQUEEZE,yes,Verb,Basic actions and technology,0.181734317343,0.835055350554,0.874538745387
9-35,to pour,1487,POUR,yes,Verb,Basic actions and technology,0.13064516129,0.864193548387,0.927419354839
9-36,to wash,1453,WASH,yes,Verb,Basic actions and technology,0.0982142857143,0.842857142857,0.883928571429
9-37,to sweep,230,SWEEP,yes,Verb,Basic actions and technology,0.132530120482,0.822891566265,0.873493975904
9-38,the broom,245,BROOM,yes,Noun,Basic actions and technology,0.177215189873,0.83164556962,0.76582278481
9-422,the tool,1361,TOOL,yes,Noun,Basic actions and technology,0.3515625,0.823828125,0.759765625
9-43,the carpenter,1042,CARPENTER,yes,Noun,Basic actions and technology,0.506944444444,0.806944444444,0.763888888889
9-44,to build,1840,BUILD,yes,Verb,Basic actions and technology,0.198921105866,0.842043155765,0.812879298719
9-46,to bore,1501,BORE,yes,Verb,Basic actions and technology,0.146341463415,0.829268292683,0.832317073171
9-461,to hollow out,46,HOLLOW OUT,yes,Verb,Basic actions and technology,0.0426829268293,0.748780487805,0.759146341463
9-48,the saw,1948,SAW,yes,Noun,Basic actions and technology,0.422619047619,0.802380952381,0.892857142857
9-49,the hammer,1481,HAMMER,yes,Noun,Basic actions and technology,0.45145631068,0.774757281553,0.927184466019
9-5,the nail,502,NAIL (TOOL),yes,Noun,Basic actions and technology,0.408783783784,0.837837837838,0.932432432432
9-56,the glue,1069,GLUE,yes,Noun,Basic actions and technology,0.417431192661,0.799082568807,0.93119266055
9-6,the blacksmith,1001,BLACKSMITH,yes,Noun,Basic actions and technology,0.29012345679,0.820987654321,0.70987654321
9-61,to forge,288,FORGE,yes,Verb,Basic actions and technology,0.0927152317881,0.817880794702,0.73178807947
9-62,the anvil,1648,ANVIL,yes,Noun,Basic actions and technology,0.280701754386,0.766666666667,0.798245614035
9-63,to cast,211,CAST,yes,Verb,Basic actions and technology,0.316901408451,0.887323943662,0.778169014085
9-64,the gold,1369,GOLD,yes,Noun,Basic actions and technology,0.574742268041,0.849484536082,0.938144329897
9-65,the silver,759,SILVER,yes,Noun,Basic actions and technology,0.508695652174,0.889565217391,0.902173913043
9-66,the copper,1825,COPPER,yes,Noun,Basic actions and technology,0.586419753086,0.867901234568,0.925925925926
9-67,the iron,621,IRON,yes,Noun,Basic actions and technology,0.272727272727,0.797607655502,0.985645933014
9-68,the lead,627,LEAD (CHEMICAL ELEMENT),yes,Noun,Basic actions and technology,0.528985507246,0.834782608696,0.971014492754
9-69,the tin or tinplate,3217,TIN OR TINPLATE,yes,Noun,Basic actions and technology,0.579166666667,0.77,0.966666666667
9-71,the potter,359,POTTER,yes,Noun,Basic actions and technology,0.169117647059,0.823529411765,0.602941176471
9-72,to mould/mold,289,MOLD,yes,Verb,Basic actions and technology,0.156069364162,0.835838150289,0.813583815029
9-73,the clay,1399,CLAY,yes,Noun,Basic actions and technology,0.0991189427313,0.838325991189,0.874449339207
9-74,the glass,604,GLASS,yes,Noun,Basic actions and technology,0.617841409692,0.796475770925,0.943832599119
9-75,to weave or plait/braid,3294,BRAID (VERB) OR WEAVE (BASKET),yes,Verb,Basic actions and technology,0.08255243195,0.817938420348,0.844935296743
9-76,the basket,1539,BASKET,yes,Noun,Basic actions and technology,0.41592920354,0.807079646018,0.973451327434
9-77,the mat,195,MAT,yes,Noun,Basic actions and technology,0.294520547945,0.831506849315,0.924657534247
9-771,the rug,292,RUG,yes,Noun,Basic actions and technology,0.671232876712,0.808219178082,0.917808219178
9-78,the netbag,293,NETBAG,yes,Noun,Basic actions and technology,0.487804878049,0.79756097561,0.878048780488
9-79,the fan,1971,FAN (OBJECT),yes,Noun,Basic actions and technology,0.25974025974,0.854545454545,0.779220779221
9-791,to fan,360,FAN (ACTION),yes,Verb,Basic actions and technology,0.133333333333,0.861333333333,0.8
9-81,to carve,228,CARVE,yes,Verb,Basic actions and technology,0.265593561368,0.860764587525,0.897384305835
9-82,the sculptor,914,SCULPTOR,yes,Noun,Basic actions and technology,0.21875,0.81875,0.583333333333
1-99901,the beach,,,no,Noun,The physical world,0.0,0.5,0.625
9-84,the chisel,1979,CHISEL,yes,Noun,Basic actions and technology,0.408450704225,0.783098591549,0.894366197183
9-88,the paint,647,PAINT (PIGMENTS),yes,Noun,Basic actions and technology,0.518375241779,0.79497098646,0.895551257253
