ID,Target_Form_ID,Source_Form_ID,Comment,Source,Source_relation,Source_word,Source_meaning,Source_certain,Source_languoid,Source_languoid_glottocode
14411,Indonesian-19-21-1,,,,earlier,ra‘ī yat-,"herd, flock, subjects, citizens",yes,Arabic,stan1318
14412,Indonesian-19-23-1,,,,earlier,mārga,"track, road",yes,Sanskrit,sans1269
14413,Indonesian-19-32-1,,,,earlier,rāja(n),king,yes,Sanskrit,sans1269
14414,Indonesian-19-36-1,,,,earlier,vaṉśa + -vant,nation + adjective-forming suffix,yes,Sanskrit,sans1269
14415,Indonesian-19-37-1,,,,earlier,varga + nagara,group + nation,yes,Sanskrit,sans1269
14416,Indonesian-19-46-1,,,,earlier,ṭā‘at-,obedience,yes,Arabic,stan1318
14417,Indonesian-19-47-1,,,,earlier,idhn,"permission, authorization",yes,Arabic,stan1318
14418,Indonesian-19-61-1,,,,earlier,‘ādat-,"habit, custom",yes,Arabic,stan1318
14419,Indonesian-20-11-1,,,,earlier,kalaha,fight,yes,Sanskrit,sans1269
14420,Indonesian-20-17-1,,,,earlier,tantra,army,yes,Sanskrit,sans1269
14421,Indonesian-20-15-1,,,,earlier,tantra,army,yes,Sanskrit,sans1269
14422,Indonesian-20-21-1,,,,earlier,saṃyatta,"come into conflict, be on one’s guard",yes,Sanskrit,sans1269
14423,Indonesian-20-23-1,,,,earlier,catapulte,catapult,yes,French,stan1290
14424,Indonesian-20-36-1,,,,earlier,manāra,lighthouse,yes,Arabic,stan1318
14425,Indonesian-20-54-1,,,,earlier,jāla,casting net,yes,Sanskrit,sans1269
14426,Indonesian-21-15-1,,,,earlier,‘ādil,"just, fair",yes,Arabic,stan1318
14427,Indonesian-21-18-1,,,,earlier,h̝ākim,"governor, paramount official",yes,Arabic,stan1318
14428,Indonesian-21-22-1,,,,earlier,da‘wā,"allegation, claim, lawsuit",yes,Arabic,stan1318
14429,Indonesian-21-23-1,,,,earlier,sakṣī(n),witness,yes,Sanskrit,sans1269
14430,Indonesian-21-32-1,,,,earlier,ḥukm,"judgement, decision, verdict",yes,Arabic,stan1318
14431,Indonesian-21-38-1,,,,earlier,daṇḍa,punishment,yes,Sanskrit,sans1269
14432,Indonesian-21-39-1,,,,earlier,pañjara,cage,yes,Sanskrit,sans1269
14433,Indonesian-21-43-1,,,,earlier,zinā‘,"adultery, fornication",yes,Arabic,stan1318
14434,Indonesian-21-47-1,,,,earlier,falso,"false, fake",yes,Portuguese,port1283
14435,Indonesian-21-51-1,,,,earlier,chorI,theft,yes,Hindi-Urdu,urdu1245
14436,Indonesian-22-11-1,,,,earlier,āgama,doctrine,yes,Sanskrit,sans1269
14437,Indonesian-22-12-1,,,,earlier,deva,god,yes,Sanskrit,sans1269
14438,Indonesian-22-13-1,,,,earlier,‘ibādah,worship,yes,Arabic,stan1318
14439,Indonesian-22-14-1,,,,earlier,altāre,"‘altar’, literally ‘high spot’",yes,Latin,
14440,Indonesian-22-15-1,,,,earlier,qurbān,"sacrifice, offering",yes,Arabic,stan1318
14441,Indonesian-22-16-1,,,,earlier,‘ibādah,worship,yes,Arabic,stan1318
14442,Indonesian-22-18-1,,,,earlier,paṇḍita,scholar,yes,Sanskrit,sans1269
14443,Indonesian-22-19-1,,,,earlier,śuci,pure,yes,Sanskrit,sans1269
14444,Indonesian-22-22-1,,,,earlier,xuṭbah,sermon,yes,Arabic,stan1318
14445,Indonesian-22-23-1,,,,earlier,barakat-,blessing,yes,Arabic,stan1318
14446,Indonesian-22-26-1,,,,earlier,upavāsa,fast,yes,Sanskrit,sans1269
14447,Indonesian-22-31-1,,,,earlier,svarga,"heaven , the abode of light and of the gods",yes,Sanskrit,sans1269
14448,Indonesian-22-32-1,,,,earlier,naraka,hell,yes,Sanskrit,sans1269
14449,Indonesian-22-35-1,,,,earlier,šaiṭān,"Satan, devil, fiend",yes,Arabic,stan1318
14450,Indonesian-22-37-1,,,,earlier,bhaṭṭāra,lord,yes,Sanskrit,sans1269
14451,Indonesian-22-42-1,,,,earlier,siḥr,"sorcery, witchcraft, magic",yes,Arabic,stan1318
14452,Indonesian-22-43-1,,,,earlier,siḥr,"sorcery, witchcraft, magic",yes,Arabic,stan1318
14453,Indonesian-22-44-1,,,,earlier,vidyādharī,"nymph, fairy",yes,Sanskrit,sans1269
